id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,,,,,,,,
1489424,https://www.airbnb.com/rooms/1489424,2.02307E+13,7/3/2023,city scrape,Home in Albany · ★4.73 · 1 bedroom · 1 bed · 1 private bath,"Queen size bed, extra comfy mattress, with access to a private bathroom with shower. A single bed is also available in that room. You will have an entire level of the house to yourself. The large, well-lit room is located in our furnished basement. Central A/C, wi-fi. One mile to UAlbany and College of St. Rose. 35 minutes to Saratoga tracks and SPAC. An hour to mountains. Quiet dead-end street with ample on-street parking.  Equipped kitchen for your use. Hi-def cable tv<br /><br /><b>The space</b><br />We are very comfortable with guests of all ages.  You get an entire level of the house to yourself for the time of your reservation. We are happy to host more than 2 guests but for each guest above 2, we will ask for an additional $10/night (we have room for up to an additional 4 guests).<br /><br /><b>Guest access</b><br />Access to kitchen and back yard (see notes below about kitchen use and vaccination), use of wi-fi, tv, off-street parking.<br /><br /><b>During your stay</b><br />As",Quiet yet convenient.,https://a0.muscache.com/pictures/21977748/1dc80cd7_original.jpg,5294164,https://www.airbnb.com/users/show/5294164,Efrat,3/2/2013,"Albany, NY","I am originally from Brooklyn, New York. As an adult I have lived in both the U.S. and Israel. I am on faculty at Empire State College. My husband, Dan, works for NY State as a researcher on prison population issues. Our three daughters are young adults and scattered in various locations. We have hosted several exchange students from Europe, South America and Asia and our house was always full of young people when our daughters were younger. We are relaxed and welcoming hosts.",within an hour,100%,91%,,https://a0.muscache.com/im/users/5294164/profile_pic/1375754135/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5294164/profile_pic/1375754135/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Albany, New York, United States",FOURTEENTH WARD,,42.66719,-73.8158,Private room in home,Private room,2,,1 private bath,,1,"[""Stove"", ""Dedicated workspace"", ""Coffee maker"", ""Dishwasher"", ""Central air conditioning"", ""Lock on bedroom door"", ""TV with standard cable"", ""Kitchen"", ""Cooking basics"", ""Shampoo"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Free parking on premises"", ""Dryer"", ""Wifi"", ""Dishes and silverware"", ""Oven"", ""Free street parking"", ""Heating"", ""Fire extinguisher"", ""Hot water"", ""First aid kit"", ""Microwave"", ""Essentials"", ""Carbon monoxide alarm"", ""Refrigerator""]",$50.00 ,1,1125,1,1,1125,1125,1,1125,,t,2,10,30,213,7/3/2023,217,47,5,9/10/2013,7/1/2023,4.73,4.81,4.52,4.92,4.91,4.81,4.8,,f,1,0,1,0,1.82,,,,,,,,
2992450,https://www.airbnb.com/rooms/2992450,2.02307E+13,7/3/2023,city scrape,Rental unit in Albany · ★3.56 · 2 bedrooms · 2 beds · 1 bath,"The apartment is located in a quiet neighborhood . Fully furnished. Linens and towels are provided. It's two blocks away from downtown Albany, and the Palace theater.",,https://a0.muscache.com/pictures/44627226/0e72c75c_original.jpg,4621559,https://www.airbnb.com/users/show/4621559,Kenneth,1/7/2013,"New York, NY",I am a real down to earth & cool person.,within an hour,100%,100%,f,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_x_medium,,1,5,"['email', 'phone']",t,f,,THIRD WARD,,42.65789,-73.7537,Entire rental unit,Entire home/apt,4,,1 bath,2,2,"[""Heating"", ""Smoke alarm"", ""TV with standard cable"", ""Air conditioning"", ""Essentials"", ""Kitchen"", ""Wifi"", ""Carbon monoxide alarm""]",$70.00 ,28,1125,28,28,1125,1125,28,1125,,t,0,0,0,214,7/3/2023,11,1,0,7/1/2014,8/17/2022,3.56,3.44,3.56,4.22,4.56,3.22,3.67,,f,1,1,0,0,0.1,,,,,,,,
3820211,https://www.airbnb.com/rooms/3820211,2.02307E+13,7/3/2023,city scrape,Rental unit in Albany · ★4.75 · 1 bedroom · 1 bed · 1 bath,"Cozy, cool little 1BR Apt in the heart Albany's Center Sq. close to everything.  Enjoy the hip, walking neighborhood and verdant Washington Park in a neighborhood with great eats, architecture and culture... Everything you need down to the corkscrew.<br /><br /><b>The space</b><br />Cozy, cool little 1BR Apt in the heart Albany's Center Sq. close to everything.  Enjoy the hip, walking neighborhood and verdant Washington Park in a neighborhood with great eats, architecture and culture... Everything you need down to the corkscrew.<br /><br />It's an old Police Precinct House converted into 6 1 bedroom apartments and most of the original feature still exist<br /><br />Albany's hippest neighborhood and the room is one of the neighborhoods coolest building.<br /><br />As much as the guest needs up to full concierge service<br /><br />Great restaurants, architecture, walking, people watching and arts.<br /><br />VERY easy the bus runs from that corner all over the city until nearly midnight ","Great restaurants, architecture, walking, people watching and arts.",https://a0.muscache.com/pictures/678ed39b-74fd-40a2-ba4e-c195d432cd59.jpg,19648678,https://www.airbnb.com/users/show/19648678,Terra,8/7/2014,,"I'm from Kansas City, MO. I've driven the entire US, logging over a  million miles on a 10 year working road trip. I settled in Albany, NY, a hardworking, no-nonsense sort of town, drenched in history, education and politics. I love this town not just for the town itself as much as the location. It's truly a sportsman's(sportswoman's) paradise, while being so close to very civilized civilization. There's easy access to NYC, Saratoga, Lake George, Vermont, Montreal & my favorite The Berkshires in Massachusetts.  ",within a day,59%,60%,,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,Center Square & Hudson/Park,13,20,"['email', 'phone']",t,t,"Albany, New York, United States",SIXTH WARD,,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,,1 bath,1,1,"[""Stove"", ""Self check-in"", ""Keypad"", ""Coffee maker"", ""Pets allowed"", ""Dishwasher"", ""Central air conditioning"", ""Free dryer \u2013 In unit"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Cooking basics"", ""Iron"", ""Shampoo"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Free parking on premises"", ""Wifi"", ""Dishes and silverware"", ""Oven"", ""Heating"", ""Fire extinguisher"", ""Hot water"", ""Microwave"", ""HDTV with standard cable, Apple TV"", ""Essentials"", ""Carbon monoxide alarm"", ""Refrigerator""]",$125.00 ,2,365,2,2,365,365,2,365,,t,0,25,55,330,7/3/2023,293,6,0,8/15/2014,5/29/2023,4.75,4.89,4.88,4.88,4.82,4.83,4.79,,f,11,6,5,0,2.71,,,,,,,,
5651579,https://www.airbnb.com/rooms/5651579,2.02307E+13,7/3/2023,city scrape,Rental unit in Albany · ★4.50 · Studio · 1 bed · 1 bath,"Spacious studio with hardwood floors, fully equipped kitchen, clean and bright. Large modern bath .  Full Cable TV and WiFi. Walking distance to the new Renaissance Hotel.<br />Walk to everything downtown! The Empire Plaza  and the Egg are  across the street.You can't get any closer, to the MVP Arena,  as well as Restaurants, bars, churches. Walk to  Capital and the new Capital Convention Center. Laundry facilities.<br /><br /><b>The space</b><br />Walk to everything downtown. Spacious and clean . This studio apartment is in a fashionable brownstone on the ground floor, (not basement)","The neighborhood is very eclectic. We have a variety of restaurants, markets and shopping along with cultural things to do . the Capital is within a five minute walk as is the Empire Plaza. We have Cafe Capricio on Grand St for great northern Italian. Down the street we also have a traditional well known Italian restaurant Lombardos, for great red sauce. There are plenty of small cafe/ bars within walking distance too",https://a0.muscache.com/pictures/b3fc42f3-6e5e-4704-9d0f-8ceee5d32046.jpg,29288920,https://www.airbnb.com/users/show/29288920,Gregg,3/13/2015,"Albany, NY",I am an Albany native .I have lived in Ireland and had a B & B in Tramore County Waterford back in the early nineties. While doing so we met a lot of wonderful people. I have been in the real estate business for over 30 years . I believe in keeping the mind and body fit. I am easy going and love a good laugh. ,within an hour,100%,100%,,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,Arbor Hill,3,4,"['email', 'phone', 'work_email']",t,t,"Albany, New York, United States",SECOND WARD,,42.64615,-73.75966,Entire rental unit,Entire home/apt,2,,1 bath,,1,"[""Stove"", ""Self check-in"", ""Air conditioning"", ""Private entrance"", ""Dedicated workspace"", ""Coffee maker"", ""TV"", ""Backyard"", ""Bed linens"", ""Long term stays allowed"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Iron"", ""Shampoo"", ""Smoke alarm"", ""Free parking on premises"", ""Wifi"", ""Dishes and silverware"", ""Oven"", ""Free street parking"", ""Heating"", ""Fire extinguisher"", ""Hot water"", ""Microwave"", ""Essentials"", ""Lockbox"", ""Carbon monoxide alarm"", ""Refrigerator""]",$68.00 ,3,365,3,3,1125,1125,3,1125,,t,12,33,63,153,7/3/2023,319,19,1,5/8/2015,6/18/2023,4.5,4.61,4.44,4.82,4.86,4.8,4.63,,f,3,2,1,0,3.21,,,,,,,,
6623339,https://www.airbnb.com/rooms/6623339,2.02307E+13,7/3/2023,city scrape,Rental unit in Albany · ★4.73 · 1 bedroom · 1 bed · 1 bath,"Large renovated 1 bedroom apartment in converted police precinct with original tin ceilings. Center Square-the ""village in the city."" Located in a restored police precinct, you are within walking distance of everything, including verdant Washington Park, restaurants and pubs of Lark St., the state capitol, downtown, Albany Med/Law/Pharmacy.","Located in Albany's finest urban neighborhood, bordering on beautiful Washington Park and funky Lark Street with its many shops and restaurants,. The building is a walking distance to downtown, the Capitol, Albany Med, Albany Law, and SUNY Albany. Literally only steps to all of life's needs.",https://a0.muscache.com/pictures/c9f06fb9-88e0-4f15-8dcf-466b434b01a7.jpg,19648678,https://www.airbnb.com/users/show/19648678,Terra,8/7/2014,,"I'm from Kansas City, MO. I've driven the entire US, logging over a  million miles on a 10 year working road trip. I settled in Albany, NY, a hardworking, no-nonsense sort of town, drenched in history, education and politics. I love this town not just for the town itself as much as the location. It's truly a sportsman's(sportswoman's) paradise, while being so close to very civilized civilization. There's easy access to NYC, Saratoga, Lake George, Vermont, Montreal & my favorite The Berkshires in Massachusetts.  ",within a day,59%,60%,,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,Center Square & Hudson/Park,13,20,"['email', 'phone']",t,t,"Albany, New York, United States",SIXTH WARD,,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,,1 bath,1,1,"[""Stove"", ""Self check-in"", ""Keypad"", ""Air conditioning"", ""Private entrance"", ""Coffee maker"", ""Dishwasher"", ""Extra pillows and blankets"", ""Washer"", ""TV with standard cable"", ""Bed linens"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""Cooking basics"", ""Iron"", ""Shampoo"", ""Patio or balcony"", ""Smoke alarm"", ""Free parking on premises"", ""Dryer"", ""Wifi"", ""Dishes and silverware"", ""Oven"", ""Free street parking"", ""Heating"", ""Hot water"", ""Microwave"", ""Essentials"", ""Carbon monoxide alarm"", ""Refrigerator""]",$140.00 ,1,1125,1,1,1125,1125,1,1125,,t,0,0,0,244,7/3/2023,306,12,0,6/7/2015,4/2/2023,4.73,4.83,4.72,4.83,4.69,4.81,4.72,,f,11,6,5,0,3.11,,,,,,,,
7062955,https://www.airbnb.com/rooms/7062955,2.02307E+13,7/3/2023,city scrape,Rental unit in Albany · ★4.14 · 1 bedroom · 1 bed · 1.5 baths,"We have switched to Economical Fall pricing<br />This is a remodeled 1895 Furnished One-Bedroom apartment o the Main Floor at Washington Park, Vaulted woodwork tall ceilings, Walk-in Closets, Marble Baths, Gourmet Kitchen, Porch and access to Backyard. Bedroom overlooks Washington Park.<br />Lots of good stuff, including Laser printer for moderate use!!!<br />Ask for Special Circumstances & Pricing.<br />Pet friendly Breed restrictions and Fees apply. Must ask for approval before confirmation.<br /><br /><b>The space</b><br />You first enter the living room from the side. The room has over 11 feet tall ceiling heights. There is a non-working original 1895 fire place in front of you. There are sofas and dinette set, Persian rug, Wall-unit A/C with remote control. To the right a door leads into the Gourmet kitchen with numerous cabinets, and a half bath for convenience. A door from the kitchen leads into the back covered deck which faces the backyard. When you enter the apartment, going ",This very quiet block is primarily made up of attached row of single family homes with the exception of ours and a few others. Neighbors are most intellectual and we are located in the most lucrative residential part of Downtown Albany.,https://a0.muscache.com/pictures/f4b98d74-ce1c-4fbd-9e5d-9d6c4eb4757b.jpg,37035085,https://www.airbnb.com/users/show/37035085,George,6/29/2015,,,within an hour,100%,89%,f,https://a0.muscache.com/im/users/37035085/profile_pic/1435590808/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/37035085/profile_pic/1435590808/original.jpg?aki_policy=profile_x_medium,,4,5,"['email', 'phone']",t,t,"Albany, New York, United States",SIXTH WARD,,42.65901,-73.76647,Entire rental unit,Entire home/apt,2,,1.5 baths,1,1,"[""Stove"", ""Air conditioning"", ""Dedicated workspace"", ""Coffee maker"", ""Pets allowed"", ""TV"", ""Dishwasher"", ""Washer"", ""Hangers"", ""Kitchen"", ""Cooking basics"", ""Dryer"", ""Wifi"", ""Ethernet connection"", ""Dishes and silverware"", ""Heating"", ""Glass Ceramic Top Oven Range oven"", ""Bathtub"", ""Hot water"", ""Microwave"", ""Essentials"", ""Refrigerator""]",$68.00 ,30,365,30,30,365,365,30,365,,t,2,32,62,337,7/3/2023,7,2,1,11/6/2016,6/16/2023,4.14,4.43,4,4.43,4.57,4.86,4.29,,f,4,4,0,0,0.09,,,,,,,,
7563949,https://www.airbnb.com/rooms/7563949,2.02307E+13,7/3/2023,city scrape,Townhouse in Albany · ★4.59 · 1 bedroom · 1 bed · 2 shared baths,"This sunlit, street-facing one bedroom is a peaceful getaway from your day-to-day. Safely enjoy your time in Albany in the ""Serenity"" room at The Urban G3M!<br /><br />Walking Distance<br />• 6 min to Governor's Mansion<br />• 7 min to Times Union Center<br />• 12 min to NYS Museum<br />• 22 min to Washington Park (Lark Street Area) <br /><br />Driving Distance<br />• 9 min to St Rose<br />• 13 min to SUNY Albany<br />• 45 min to Saratoga Race Track, and Global Foundries<br /><br /><b>The space</b><br />Historic Townhouse from 1871. Lots of charm and character throughout.<br /><br /><b>Guest access</b><br />Full access to the master bedroom with walk in closet and bathroom.<br /><br /><b>During your stay</b><br />Please feel free to call me with any questions and I will address them as soon as possible to ensure that your stay is comfortable.",,https://a0.muscache.com/pictures/53405335-edf0-4bb2-a0f4-3a860dba0698.jpg,39656001,https://www.airbnb.com/users/show/39656001,Urbangem,7/26/2015,"Albany, NY","I am a well traveled military veteran. I lived in Japan and Germany for over 8 years, in 2011, I relocated from Germany to Albany. I am a New York City Native. I fell in love with Albany, it's historic touches and the diverse population. A Brooklyn New York Native, It's home away from home for me. 

I fell in love with the Airbnb concept after I visited Montpelier, Vermont and I stayed at a bed and breakfast. I hope that your stay is an enjoyable one. 

Thank you for the opportunity to serve again. My life motto is never stop dreaming. ""Start small and dream big.""",within an hour,95%,99%,f,https://a0.muscache.com/im/pictures/user/a265ff0b-234e-4785-9986-60054f6247ca.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a265ff0b-234e-4785-9986-60054f6247ca.jpg?aki_policy=profile_x_medium,Mansion Area,8,13,"['email', 'phone']",t,t,,SECOND WARD,,42.64484,-73.75851,Private room in townhouse,Private room,2,,2 shared baths,,1,"[""Stove"", ""Self check-in"", ""Keypad"", ""Air conditioning"", ""Dedicated workspace"", ""Coffee maker"", ""Pets allowed"", ""Dishwasher"", ""Extra pillows and blankets"", ""Backyard"", ""Crib"", ""Lock on bedroom door"", ""TV with standard cable"", ""Bed linens"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""Iron"", ""Shampoo"", ""Cooking basics"", ""Smoke alarm"", ""Free parking on premises"", ""Wifi"", ""Dishes and silverware"", ""Oven"", ""Free street parking"", ""Heating"", ""Fire extinguisher"", ""Hot water"", ""First aid kit"", ""Microwave"", ""Essentials"", ""Carbon monoxide alarm"", ""Refrigerator""]",$190.00 ,1,2,1,1,2,2,1,2,,t,28,58,88,363,7/3/2023,42,2,0,7/10/2016,2/19/2023,4.59,4.67,4.83,4.69,4.81,4.42,4.53,,f,7,4,3,0,0.49,,,,,,,,
8035768,https://www.airbnb.com/rooms/8035768,2.02307E+13,7/3/2023,city scrape,Home in Albany · ★4.75 · 3 bedrooms · 3 beds · 3.5 baths,"Stunningly renovated French Victorian originally built in 1884 .  Two finely furnished bedrooms are available.  King or Queen size beds, down quilts, large closets, Wireless internet, apple TV, NETFLIX, and Direct TV HD Television, central A/C. All ideally located near the edge of Washington Park and Downtown Albany 's Entertainment and fine Dining. Walking distance from Albany Medical Center, St Rose College, Albany Law School.  On a main bus line. Off Street private parking is also provided.<br /><br /><b>The space</b><br />There are 2 bedrooms each rented separately as can be seen clearly in the pictures of the house.  Each bedroom is it's own private room with a deadbolt lock, a small refrigerator, freezer, and microwave oven. The bathroom is shared in the center hall and is finely appointed, an abundance of fresh towels are always provided. Each room also has a modern Samsung high end 3D TV with Direct TV HD network, Apple TV, Netflix, You Tube and Free Wi-Fi provided. The use of ","There is a Barbershop with 1900' barber chairs and décor across the street (Duke's), there is a Mexican restaurant, Pizza and Italian take out, Gyro's, Joe's Chicken, a laundry mat and liquor store all with 2 blocks of the house.",https://a0.muscache.com/pictures/103429331/a0a6c0b1_original.jpg,42430824,https://www.airbnb.com/users/show/42430824,John M,8/24/2015,,"A short description of myself as requested by Airbnb. I was born in San Antonio Texas and move to the Albany area when I was very young. I grew up in the Capital district and know it well. The nightlife, the hiking trails, nature preserves, parks, restaurants, social scene, local lakes, and attractions. I worked in St Peter's Hospital as a surgical scrub tech/nurse from ages 16 to 18. I went to College in VT at St Michael's and worked on the ambulance as an EMT for 4 yrs there. I graduated with a degree in History/Political Science and a minor in Philosophy. I then did 2 years pre-med as a local collage and a Internal Medical Residency at Albany Medical Center. I Have had training in Dermatology as well at the University of Houston Texas Medical Center. My father is a Medical Doctor, my grand father, and my great grandfather. Currently I work 2 days a week at the Veteran's hospital seeing internal medicine patients and 3 days a week with my father seeing Dermatology patients.  We have a lovely Day Spa above our medial office which I run. We provide manicure, pedicure, facials, laser hair removal, laser skin resurfacing, Botox, cosmetic filler, Laser assisted Double chin removal, unwanted brown and red spot removal anywhere on the body. Any of our guest are automatically eligible for a 10% on any of the services offered at my spa. So feel free to inquire further and we hope you choose to stay with us at Airbnb some day.",within a few hours,75%,50%,,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,"Albany, New York, United States",TENTH WARD,,42.66088,-73.78147,Entire home,Entire home/apt,10,,3.5 baths,3,3,"[""Self check-in"", ""Pocket wifi"", ""Security cameras on property"", ""Free washer \u2013 In building"", ""Window AC unit"", ""Laundromat nearby"", ""Freezer"", ""Private entrance"", ""Free dryer \u2013 In building"", ""Dedicated workspace"", ""Dining table"", ""Coffee maker"", ""Pets allowed"", ""Dishwasher"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Room-darkening shades"", ""Central air conditioning"", ""Bed linens"", ""Long term stays allowed"", ""TV with Amazon Prime Video, Apple TV, Netflix, Roku, standard cable"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""Smart lock"", ""Luggage dropoff allowed"", ""Iron"", ""Shampoo"", ""Smoke alarm"", ""Indoor fireplace: gas"", ""Free parking on premises"", ""Portable air conditioning"", ""Wifi"", ""Dishes and silverware"", ""Free street parking"", ""AC - split type ductless system"", ""Heating"", ""Fire extinguisher"", ""Mini fridge"", ""Hot water"", ""First aid kit"", ""Microwave"", ""Essentials"", ""Carbon monoxide alarm"", ""Private backyard \u2013 Fully fenced"", ""Refrigerator""]",$581.00 ,3,1125,3,3,1125,1125,3,1125,,t,30,60,90,365,7/3/2023,54,2,0,9/2/2015,2/20/2023,4.75,4.8,4.78,4.92,4.78,4.73,4.76,,f,2,1,1,0,0.57,,,,,,,,
8035784,https://www.airbnb.com/rooms/8035784,2.02307E+13,7/3/2023,city scrape,Home in Albany · ★4.61 · 1 bedroom · 1 bed · 2.5 shared baths,"Stunningly renovated French Victorian originally built in 1884 .  Two finely furnished bedrooms are available.  King or Queen size beds, down quilts, large closets, Wireless internet, apple TV, NETFLIX, and Direct TV HD Television, central A/C. All ideally located near the edge of Washington Park and Downtown Albany 's Entertainment and fine Dining. Walking distance from Albany Medical Center, St Rose College, Albany Law School.  On a main bus line. Off Street private parking is also provided.<br /><br /><b>Guest access</b><br />All guests have access to a small refrigerator, freezer, and microwave oven in each room. The bathroom is finely appointed and fresh towels are always provided. There is also TV with Direct TV HD network, Apple TV, Netflix, and Free Wi-Fi provided. Use of the washer and dryer are provided on request as well. Always feel free to ask for any thing you may need.<br /><br /><b>During your stay</b><br />Myself and my girlfriend are around intermittently and enjoy so","There is a Barbershop with 1900' barber chairs and décor across the street (Duke's), there is a Mexican restaurant, Pizza and Italian take out, Gyro's, Joe's Chicken, a laundry mat and liquor store all with 2 blocks of the house.",https://a0.muscache.com/pictures/102414176/e6b76700_original.jpg,42430824,https://www.airbnb.com/users/show/42430824,John M,8/24/2015,,"A short description of myself as requested by Airbnb. I was born in San Antonio Texas and move to the Albany area when I was very young. I grew up in the Capital district and know it well. The nightlife, the hiking trails, nature preserves, parks, restaurants, social scene, local lakes, and attractions. I worked in St Peter's Hospital as a surgical scrub tech/nurse from ages 16 to 18. I went to College in VT at St Michael's and worked on the ambulance as an EMT for 4 yrs there. I graduated with a degree in History/Political Science and a minor in Philosophy. I then did 2 years pre-med as a local collage and a Internal Medical Residency at Albany Medical Center. I Have had training in Dermatology as well at the University of Houston Texas Medical Center. My father is a Medical Doctor, my grand father, and my great grandfather. Currently I work 2 days a week at the Veteran's hospital seeing internal medicine patients and 3 days a week with my father seeing Dermatology patients.  We have a lovely Day Spa above our medial office which I run. We provide manicure, pedicure, facials, laser hair removal, laser skin resurfacing, Botox, cosmetic filler, Laser assisted Double chin removal, unwanted brown and red spot removal anywhere on the body. Any of our guest are automatically eligible for a 10% on any of the services offered at my spa. So feel free to inquire further and we hope you choose to stay with us at Airbnb some day.",within a few hours,75%,50%,,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,"Albany, New York, United States",TENTH WARD,,42.66063,-73.78115,Private room in home,Private room,2,,2.5 shared baths,,1,"[""Self check-in"", ""Window AC unit"", ""Private entrance"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Backyard"", ""Central air conditioning"", ""Lock on bedroom door"", ""TV with standard cable"", ""Bed linens"", ""Long term stays allowed"", ""Hangers"", ""Smart lock"", ""Hair dryer"", ""Iron"", ""Shampoo"", ""Smoke alarm"", ""Free parking on premises"", ""Wifi"", ""Indoor fireplace"", ""Free street parking"", ""Heating"", ""Fire extinguisher"", ""Hot water"", ""First aid kit"", ""Microwave"", ""Essentials"", ""Carbon monoxide alarm"", ""Refrigerator""]",$199.00 ,3,65,3,3,65,65,3,65,,t,29,59,89,179,7/3/2023,18,0,0,10/17/2015,7/25/2020,4.61,4.83,4.61,4.78,4.83,4.67,4.72,,f,2,1,1,0,0.19,,,,,,,,
8539096,https://www.airbnb.com/rooms/8539096,2.02307E+13,7/3/2023,city scrape,Home in Albany · ★4.88 · 5 bedrooms · 6 beds · 5 baths,"Located right on Washington Park with onsite parking which is very convenient despite the superior walkability of our place. A queen bedroom with a small attached twin sleeping room. This large suite has a private bath as well smart TV's, memory foam beds and luxury linens & towels. 24/7 access to a guest favorite, the stocked shared kitchen. Other amenities include: laundry, computer, phone, fax, printing and self-serve breakfast.<br /><br /><b>The space</b><br />The Washington Park Inn is an all ensuite mansion inn with private baths in Albany NY situated directly on historic Washington Park. A brick, turreted Victorian mansion built in 1884, the Inn is just a short walk to downtown, the Capitol Building and Empire State Plaza, Albany Medical Center, Albany Law School & Albany Pharmacy College. The Inn is only two blocks from hip Center Square, a neighborhood of 19th century brownstones, where you can stroll to numerous restaurants, galleries, pubs, and music venues. We cater to busy","The Washington Park Inn is situated on historic Washington Park, which was designed in 1870 by acolytes of Frederick Law Olmsted, the architect of New York's Central Park. It is the site of many city festivals, including the renowned Tulip Festival, which hearkens to the city's Dutch heritage. The park also boasts a lake and a large, brick Spanish Revival lake house, an outdoor, terraced amphitheater, tennis courts, sunny lawns and shady walking paths.",https://a0.muscache.com/pictures/ae7befb4-bc4f-46f7-a5be-85b5878a79a9.jpg,19648678,https://www.airbnb.com/users/show/19648678,Terra,8/7/2014,,"I'm from Kansas City, MO. I've driven the entire US, logging over a  million miles on a 10 year working road trip. I settled in Albany, NY, a hardworking, no-nonsense sort of town, drenched in history, education and politics. I love this town not just for the town itself as much as the location. It's truly a sportsman's(sportswoman's) paradise, while being so close to very civilized civilization. There's easy access to NYC, Saratoga, Lake George, Vermont, Montreal & my favorite The Berkshires in Massachusetts.  ",within a day,59%,60%,,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,Center Square & Hudson/Park,13,20,"['email', 'phone']",t,t,"Albany, New York, United States",NINTH WARD,,42.65601,-73.7756,Entire home,Entire home/apt,10,,5 baths,5,6,"[""Stove"", ""Self check-in"", ""Keypad"", ""Air conditioning"", ""Coffee maker"", ""Dishwasher"", ""Backyard"", ""Washer"", ""TV with standard cable"", ""Hangers"", ""Kitchen"", ""Cooking basics"", ""Iron"", ""Shampoo"", ""Patio or balcony"", ""Smoke alarm"", ""Free parking on premises"", ""Dryer"", ""Wifi"", ""Oven"", ""Free street parking"", ""Heating"", ""Fire extinguisher"", ""Hot water"", ""First aid kit"", ""Microwave"", ""Essentials"", ""Breakfast"", ""Carbon monoxide alarm"", ""Refrigerator""]",$750.00 ,3,365,3,3,365,365,3,365,,t,29,59,89,364,7/3/2023,66,1,0,11/28/2015,8/16/2022,4.88,4.85,4.88,4.82,4.77,4.91,4.8,,f,11,6,5,0,0.71,,,,,,,,
